promo_id,retailer_name,sku_id,promo_start_date,promo_end_date,promo_type,promo_depth_pct,baseline_velocity,promo_velocity,promo_lift_pct,incremental_units,cannibalization_rate_pct,promo_roi,trade_spend_dollars
PROMO-2025-0156,Walmart,SKU-A02,2025-12-13,2025-12-26,Feature,19.4,5.9,6.64,12.44,3815,8.63,0.04,178096.05
PROMO-2025-0229,Albertsons,SKU-C02,2025-12-13,2025-12-26,TPR,15.74,2.9,3.26,12.26,214,7.16,0,176653.48
PROMO-2025-0166,Target,SKU-A02,2025-12-06,2025-12-19,BOGO,50,5.9,7.87,33.2,4287,10.84,0.2,37925.21
PROMO-2025-0215,Target,SKU-C03,2025-12-06,2025-12-19,TPR,29.59,3.69,4.12,11.56,914,8.3,0.03,103538.17
PROMO-2025-0171,Kroger,SKU-A03,2025-11-29,2025-12-12,Feature+Display,22.69,6.61,8.78,32.78,2696,8.58,0.05,60571.17
PROMO-2025-0162,Target,SKU-A02,2025-11-22,2025-12-05,TPR,19.96,5.9,7.49,26.86,3469,14.61,0.06,95781.57
PROMO-2025-0204,Walmart,SKU-C01,2025-11-22,2025-12-05,TPR,33.64,4.94,6.46,30.8,8042,6.8,0.15,101979.48
PROMO-2025-0198,Albertsons,SKU-B01,2025-11-15,2025-11-28,Feature,18.01,8.59,12.08,40.63,2804,4.17,0.11,20017.08
PROMO-2025-0173,Kroger,SKU-A02,2025-11-08,2025-11-21,TPR,10.79,5.9,8.87,50.16,4858,11.41,0.05,172233.48
PROMO-2025-0181,Walmart,SKU-B02,2025-11-08,2025-11-21,Feature+Display,24.88,6.57,10.13,54.05,12344,2.83,0.07,170278.73
PROMO-2025-0186,Target,SKU-B03,2025-10-25,2025-11-07,Display,15.89,6.01,9.02,50.2,6939,7.57,0.03,161100.57
PROMO-2025-0201,Walmart,SKU-C01,2025-10-18,2025-10-31,Feature+Display,11.16,4.94,7.15,44.62,11648,9.01,0.31,70826.66
PROMO-2025-0163,Target,SKU-A02,2025-10-04,2025-10-17,TPR,13.78,5.9,6.67,12.89,1665,7.71,0.02,145641.36
PROMO-2025-0172,Kroger,SKU-A01,2025-09-27,2025-10-10,BOGO,50,7.24,13.38,84.85,7441,5.16,0.72,16004.21
PROMO-2025-0197,Albertsons,SKU-B01,2025-09-27,2025-10-10,Feature+Display,24.49,8.59,9.84,14.56,1005,9.57,0.02,41356.39
PROMO-2025-0176,Albertsons,SKU-A01,2025-09-20,2025-10-03,Feature+Display,23.16,7.24,12.04,66.36,2425,13.37,0.12,30651.86
PROMO-2025-0180,Walmart,SKU-B03,2025-09-13,2025-09-26,TPR,18.02,6.01,7.98,32.88,10906,1.38,0.06,127090.33
PROMO-2025-0161,Target,SKU-A01,2025-09-06,2025-09-19,TPR,26.59,7.24,11.3,56.2,6571,14.09,0.14,73361.28
PROMO-2025-0178,Albertsons,SKU-A02,2025-09-06,2025-09-19,Display,14.24,5.9,7.34,24.32,981,12.51,0.06,28272.26
PROMO-2025-0195,Kroger,SKU-B03,2025-09-06,2025-09-19,Display,20.48,6.01,6.57,9.37,950,12.17,0.01,56436.54
PROMO-2025-0217,Kroger,SKU-C02,2025-09-06,2025-09-19,Display,23.88,2.9,3.97,36.86,1527,3.11,0.12,24420.06
PROMO-2025-0170,Kroger,SKU-A03,2025-08-30,2025-09-12,Feature,28.6,6.61,9.03,36.55,3006,0.74,0.04,84225.76
PROMO-2025-0196,Albertsons,SKU-B03,2025-08-30,2025-09-12,Display,14.12,6.01,9.27,54.45,2107,12.22,0.02,94593.63
PROMO-2025-0209,Target,SKU-C03,2025-08-23,2025-09-05,Feature,19.71,3.69,4.5,21.96,1738,1.72,0.04,156504.23
PROMO-2025-0188,Target,SKU-B02,2025-08-09,2025-08-22,Display,13.49,6.57,9.36,42.34,4028,9.57,0.05,70144.97
PROMO-2025-0203,Walmart,SKU-C03,2025-08-09,2025-08-22,Feature,33.19,3.69,5.19,40.64,5717,13.23,0.53,33916.26
PROMO-2025-0159,Walmart,SKU-A03,2025-08-02,2025-08-15,Feature,20.52,6.61,8.56,29.51,7687,11.95,0.35,25607.61
PROMO-2025-0225,Albertsons,SKU-C03,2025-07-26,2025-08-08,TPR,15.63,3.69,4.63,25.38,424,13.66,0.02,54416.77
PROMO-2025-0187,Target,SKU-B01,2025-07-19,2025-08-01,TPR,30.9,8.59,13.58,58.14,14330,11.02,0.86,13067.85
PROMO-2025-0216,Kroger,SKU-C01,2025-07-19,2025-08-01,Feature,14.24,4.94,7.24,46.51,3415,10.05,0.04,149646.03
PROMO-2025-0199,Albertsons,SKU-B01,2025-07-12,2025-07-25,TPR,14.75,8.59,12.99,51.24,3536,2.57,0.08,35249.16
PROMO-2025-0206,Walmart,SKU-C01,2025-07-12,2025-07-25,Display,18.13,4.94,7.07,43.06,11242,13.85,0.19,114243.81
PROMO-2025-0177,Albertsons,SKU-A01,2025-07-05,2025-07-18,Feature+Display,26.33,7.24,8.52,17.79,650,1.33,0.04,22669.61
PROMO-2025-0194,Kroger,SKU-B03,2025-06-28,2025-07-11,TPR,30.8,6.01,7.85,30.66,3107,14.15,0.07,31492.02
PROMO-2025-0219,Kroger,SKU-C03,2025-06-21,2025-07-04,Feature+Display,12.85,3.69,6.84,85.39,3379,12.7,0.06,170720.73
PROMO-2025-0200,Albertsons,SKU-B01,2025-06-14,2025-06-27,TPR,25.05,8.59,12.24,42.5,2933,2.09,0.02,132174.45
PROMO-2025-0165,Target,SKU-A02,2025-06-07,2025-06-20,BOGO,50,5.9,10.22,73.14,9444,2.85,0.16,104831.03
PROMO-2025-0207,Walmart,SKU-C01,2025-05-31,2025-06-13,TPR,17.97,4.94,7.26,46.98,12265,7.38,0.16,145005.78
PROMO-2025-0158,Walmart,SKU-A01,2025-05-24,2025-06-06,Feature,28.87,7.24,8.25,14.06,3906,6.65,0.17,36350.07
PROMO-2025-0184,Walmart,SKU-B02,2025-05-24,2025-06-06,TPR,32.95,6.57,10.17,54.64,12478,13.21,0.81,13952.88
PROMO-2025-0192,Kroger,SKU-B02,2025-05-24,2025-06-06,Feature,11.92,6.57,9.26,40.79,2846,2.58,0.02,171193.58
PROMO-2025-0210,Target,SKU-C03,2025-05-24,2025-06-06,TPR,28.82,3.69,5.27,42.84,3390,7.45,0.14,77781.09
PROMO-2025-0221,Kroger,SKU-C02,2025-05-24,2025-06-06,TPR,11.45,2.9,3.42,17.96,744,1.77,0.02,83734.45
PROMO-2025-0226,Albertsons,SKU-C01,2025-05-17,2025-05-30,TPR,15.1,4.94,7.27,47.2,1463,14.83,0.05,59803.86
PROMO-2025-0222,Albertsons,SKU-C01,2025-05-03,2025-05-16,Feature,11.24,4.94,7.05,42.7,1324,1.96,0.08,33280.57
PROMO-2025-0168,Kroger,SKU-A02,2025-04-26,2025-05-09,Feature,16.27,5.9,7.24,22.6,2189,1.6,0.06,58808.33
PROMO-2025-0174,Albertsons,SKU-A01,2025-04-26,2025-05-09,TPR,16.68,7.24,11.56,59.68,2181,5.5,0.14,24443.04
PROMO-2025-0179,Walmart,SKU-B03,2025-04-26,2025-05-09,Feature,18.66,6.01,6.9,14.86,4929,9.03,0.03,115030.46
PROMO-2025-0202,Walmart,SKU-C01,2025-04-26,2025-05-09,Feature,20.26,4.94,7.2,45.65,11918,14.79,0.25,89285.59
PROMO-2025-0185,Target,SKU-B03,2025-04-19,2025-05-02,BOGO,50,6.01,9.08,51.13,7066,2.63,0.03,166578.7
PROMO-2025-0205,Walmart,SKU-C02,2025-04-12,2025-04-25,TPR,32.49,2.9,3.55,22.32,3288,12.18,0.11,53401.94
PROMO-2025-0191,Kroger,SKU-B01,2025-04-05,2025-04-18,Feature,23.74,8.59,13.68,59.35,10727,10.3,0.07,123295.59
PROMO-2025-0208,Target,SKU-C01,2025-04-05,2025-04-18,Feature,32.54,4.94,6.69,35.39,5198,12.31,0.08,122212.72
PROMO-2025-0223,Albertsons,SKU-C03,2025-04-05,2025-04-18,Display,34.42,3.69,4.67,26.52,443,7.43,0.02,69814.05
PROMO-2025-0183,Walmart,SKU-B01,2025-03-22,2025-04-04,BOGO,50,8.59,12.39,44.29,26200,9.97,0.59,34570.77
PROMO-2025-0220,Kroger,SKU-C02,2025-03-15,2025-03-28,TPR,22.29,2.9,4.14,42.67,1768,4.16,0.03,95660.53
PROMO-2025-0160,Target,SKU-A03,2025-03-08,2025-03-21,BOGO,50,6.61,10.54,59.4,6515,4.16,0.09,81812.28
PROMO-2025-0189,Target,SKU-B01,2025-03-08,2025-03-21,TPR,21.36,8.59,9.91,15.43,3804,12.15,0.04,68112.17
PROMO-2025-0213,Target,SKU-C01,2025-03-08,2025-03-21,BOGO,50,4.94,8.83,78.63,11548,0.72,0.43,51032.02
PROMO-2025-0227,Albertsons,SKU-C02,2025-03-08,2025-03-21,Feature+Display,27.04,2.9,4.68,61.3,1072,13.51,0.02,81712.28
PROMO-2025-0169,Kroger,SKU-A02,2025-02-22,2025-03-07,TPR,14.2,5.9,9.22,56.18,5441,8.05,0.12,81686.38
PROMO-2025-0175,Albertsons,SKU-A01,2025-02-22,2025-03-07,TPR,15.95,7.24,11.45,58.27,2129,4.81,0.06,52608.44
PROMO-2025-0218,Kroger,SKU-C01,2025-02-22,2025-03-07,TPR,15.86,4.94,5.61,13.59,998,5.96,0.01,162723.26
PROMO-2025-0224,Albertsons,SKU-C03,2025-02-22,2025-03-07,TPR,12.59,3.69,4.23,14.61,244,4.42,0.01,58235.26
PROMO-2025-0190,Target,SKU-B02,2025-02-15,2025-02-28,TPR,12.77,6.57,10.27,56.22,5349,11.78,0.31,15535
PROMO-2025-0211,Target,SKU-C02,2025-02-15,2025-02-28,TPR,33.38,2.9,4.63,59.64,4941,12.26,0.17,53118.66
PROMO-2025-0157,Walmart,SKU-A01,2025-02-08,2025-02-21,TPR,10.87,7.24,8.53,17.9,4970,10.75,0.06,133280.52
PROMO-2025-0167,Kroger,SKU-A01,2025-02-08,2025-02-21,Feature,13.65,7.24,11.56,59.75,5240,8.01,0.05,173496.52
PROMO-2025-0155,Walmart,SKU-A01,2025-01-25,2025-02-07,TPR,22.25,7.24,9.51,31.46,8736,11.09,0.55,24692.46
PROMO-2025-0193,Kroger,SKU-B03,2025-01-25,2025-02-07,Feature+Display,15.82,6.01,6.99,16.36,1659,10.03,0.01,102878.58
PROMO-2025-0212,Target,SKU-C03,2025-01-25,2025-02-07,Display,26.12,3.69,4.02,8.94,707,2.65,0.01,173817.86
PROMO-2025-0164,Target,SKU-A03,2025-01-18,2025-01-31,Display,28.47,6.61,8.76,32.41,3555,10.96,0.03,120283.93
PROMO-2025-0228,Albertsons,SKU-C02,2025-01-18,2025-01-31,Display,27.27,2.9,4.62,59.33,1038,13.56,0.01,163551.53
PROMO-2025-0182,Walmart,SKU-B03,2025-01-11,2025-01-24,TPR,34.69,6.01,9.17,52.67,17471,0.05,0.12,96474.59
PROMO-2025-0214,Target,SKU-C03,2025-01-11,2025-01-24,Display,31.94,3.69,5.79,56.99,4510,13,0.19,73633.38
PROMO-2024-0137,Walmart,SKU-C02,2024-12-14,2024-12-27,TPR,32.37,2.9,3.91,34.56,5090,1.75,0.08,120095.35
PROMO-2024-0089,Target,SKU-A03,2024-12-07,2024-12-20,Display,12.27,6.61,9.32,41.01,4498,11.9,0.04,126343.1
PROMO-2024-0111,Walmart,SKU-B03,2024-12-07,2024-12-20,TPR,31.9,6.01,8.73,45.37,15049,3.64,0.07,151638.63
PROMO-2024-0129,Albertsons,SKU-B03,2024-12-07,2024-12-20,TPR,18.26,6.01,9.29,54.71,2117,3.38,0.01,135972.26
PROMO-2024-0098,Kroger,SKU-A02,2024-11-30,2024-12-13,BOGO,50,5.9,10.78,82.65,8004,7.45,0.56,24653.57
PROMO-2024-0127,Kroger,SKU-B02,2024-11-23,2024-12-06,Feature,11.05,6.57,8.36,27.15,1895,11.09,0.04,42421.62
PROMO-2024-0110,Walmart,SKU-B03,2024-11-16,2024-11-29,Display,25.65,6.01,8.09,34.65,11492,6.11,0.05,165012.34
PROMO-2024-0084,Walmart,SKU-A01,2024-11-09,2024-11-22,Feature+Display,15.49,7.24,13.59,87.82,24387,6.26,0.44,85576.03
PROMO-2024-0099,Kroger,SKU-A01,2024-11-09,2024-11-22,Feature,29.96,7.24,9.11,25.88,2270,5.33,0.03,132486.78
PROMO-2024-0087,Target,SKU-A03,2024-11-02,2024-11-15,TPR,27.66,6.61,8.89,34.47,3781,3.17,0.03,149517.79
PROMO-2024-0108,Albertsons,SKU-A03,2024-11-02,2024-11-15,TPR,30.62,6.61,8.4,26.98,925,0.88,0.02,51982.19
PROMO-2024-0123,Kroger,SKU-B03,2024-11-02,2024-11-15,Display,31.36,6.01,7.62,26.88,2724,0.9,0.04,41574.29
PROMO-2024-0121,Target,SKU-B03,2024-10-26,2024-11-08,Feature,12.02,6.01,7.34,22.15,3062,12.1,0.04,48822.7
PROMO-2024-0105,Albertsons,SKU-A02,2024-10-12,2024-10-25,BOGO,50,5.9,10.62,79.88,3223,8.92,0.03,163796.41
PROMO-2024-0081,Walmart,SKU-A02,2024-10-05,2024-10-18,Feature,19.48,5.9,9.44,59.85,18354,6.58,0.24,132862.47
PROMO-2024-0086,Target,SKU-A01,2024-10-05,2024-10-18,TPR,14.75,7.24,10.41,43.84,5125,14.64,0.05,144370.23
PROMO-2024-0097,Kroger,SKU-A01,2024-10-05,2024-10-18,Feature,26.33,7.24,9.32,28.82,2527,14.68,0.09,41482.75
PROMO-2024-0126,Kroger,SKU-B03,2024-10-05,2024-10-18,Feature+Display,34.85,6.01,10.49,74.67,7568,9.01,0.03,155772.69
PROMO-2024-0109,Walmart,SKU-B03,2024-09-28,2024-10-11,Feature,16.31,6.01,8.41,40.05,13284,4.12,0.08,117328.15
PROMO-2024-0116,Target,SKU-B01,2024-09-28,2024-10-11,Feature,21.52,8.59,11.92,38.83,9570,7.34,0.11,68816.12
PROMO-2024-0103,Albertsons,SKU-A02,2024-09-21,2024-10-04,Feature,19.19,5.9,8.21,39.11,1578,4.48,0.02,176892.31
PROMO-2024-0150,Albertsons,SKU-C01,2024-09-21,2024-10-04,Feature,32.97,4.94,5.94,20.17,625,0.81,0.04,26342.26
PROMO-2024-0101,Kroger,SKU-A01,2024-09-14,2024-09-27,TPR,10.96,7.24,10.82,49.47,4338,11,0.29,23399.56
PROMO-2024-0131,Albertsons,SKU-B01,2024-09-14,2024-09-27,TPR,20.3,8.59,10.29,19.8,1367,2.37,0.01,173078.13
PROMO-2024-0128,Albertsons,SKU-B01,2024-08-31,2024-09-13,Feature+Display,17.44,8.59,9.76,13.62,940,2.85,0.02,33176.38
PROMO-2024-0093,Target,SKU-A02,2024-08-24,2024-09-06,TPR,32.06,5.9,8.48,43.6,5630,6.26,0.08,115320.17
PROMO-2024-0154,Albertsons,SKU-C03,2024-08-17,2024-08-30,TPR,13.97,3.69,4.09,10.81,181,11.59,0.05,11544.22
PROMO-2024-0095,Kroger,SKU-A02,2024-08-10,2024-08-23,Feature,20.13,5.9,7.46,26.31,2548,10.86,0.05,81793.38
PROMO-2024-0120,Target,SKU-B02,2024-08-10,2024-08-23,Feature,30.98,6.57,10.45,58.91,5605,0.03,0.14,37350.11
PROMO-2024-0132,Albertsons,SKU-B03,2024-07-27,2024-08-09,TPR,32.69,6.01,9.44,57.24,2215,2.76,0.01,131007.59
PROMO-2024-0146,Kroger,SKU-C02,2024-07-27,2024-08-09,Feature+Display,24.29,2.9,4.37,50.55,2094,9.33,0.03,149836.98
PROMO-2024-0091,Target,SKU-A01,2024-07-20,2024-08-02,TPR,30.26,7.24,7.96,10.06,1176,5.06,0.01,167301.06
PROMO-2024-0138,Target,SKU-C03,2024-07-20,2024-08-02,TPR,15.82,3.69,4.4,19.4,1535,6.05,0.05,90709.07
PROMO-2024-0113,Walmart,SKU-B01,2024-07-13,2024-07-26,TPR,34.16,8.59,13.56,57.95,34275,7.97,0.25,105648.95
PROMO-2024-0106,Albertsons,SKU-A02,2024-07-06,2024-07-19,Feature+Display,16.3,5.9,6.89,16.72,675,0.28,0.01,112234.37
PROMO-2024-0124,Kroger,SKU-B02,2024-07-06,2024-07-19,TPR,34.22,6.57,10.41,58.37,4073,14.67,0.03,132370.7
PROMO-2024-0133,Walmart,SKU-C03,2024-07-06,2024-07-19,Feature,30.78,3.69,4.11,11.31,1592,9.24,0.34,14892.64
PROMO-2024-0142,Target,SKU-C02,2024-07-06,2024-07-19,TPR,26.42,2.9,4,37.69,3122,7.36,0.11,51609.15
PROMO-2024-0117,Target,SKU-B02,2024-06-22,2024-07-05,Display,15.43,6.57,9.44,43.56,4144,9.27,0.03,147397.3
PROMO-2024-0100,Kroger,SKU-A01,2024-06-15,2024-06-28,TPR,19.2,7.24,8.83,22.03,1932,0.44,0.07,43629
PROMO-2024-0102,Albertsons,SKU-A02,2024-06-15,2024-06-28,Display,24.78,5.9,7.3,23.64,954,13.09,0.01,142475.23
PROMO-2024-0145,Kroger,SKU-C01,2024-06-15,2024-06-28,Feature,13.16,4.94,5.81,17.66,1297,3.35,0.02,150173.23
PROMO-2024-0151,Albertsons,SKU-C01,2024-06-08,2024-06-21,Feature+Display,31.41,4.94,7.86,59.15,1834,14.01,0.2,17657.99
PROMO-2024-0104,Albertsons,SKU-A02,2024-06-01,2024-06-14,TPR,26.99,5.9,7.47,26.43,1066,9.67,0.05,40626.59
PROMO-2024-0141,Target,SKU-C02,2024-06-01,2024-06-14,TPR,32.93,2.9,3.44,18.33,1519,12.37,0.02,127866.22
PROMO-2024-0134,Walmart,SKU-C01,2024-05-25,2024-06-07,Display,31.84,4.94,5.85,18.41,4807,0.52,0.43,21149.24
PROMO-2024-0143,Kroger,SKU-C02,2024-05-18,2024-05-31,TPR,22.39,2.9,3.64,25.54,1058,5.47,0.04,49099.5
PROMO-2024-0082,Walmart,SKU-A03,2024-05-11,2024-05-24,TPR,24.61,6.61,8.05,21.73,5660,12.67,0.24,27398.74
PROMO-2024-0130,Albertsons,SKU-B01,2024-05-04,2024-05-17,Feature,32.46,8.59,12.41,44.5,3071,12.57,0.02,145977.76
PROMO-2024-0136,Walmart,SKU-C02,2024-05-04,2024-05-17,TPR,16.57,2.9,4.17,43.79,6450,7.21,0.13,89291.35
PROMO-2024-0139,Target,SKU-C02,2024-05-04,2024-05-17,Feature,11.76,2.9,3.88,33.75,2796,2,0.04,135790.82
PROMO-2024-0152,Albertsons,SKU-C02,2024-05-04,2024-05-17,TPR,22.06,2.9,4.34,49.36,863,12.74,0.01,133845.27
PROMO-2024-0144,Kroger,SKU-C01,2024-04-27,2024-05-10,Feature+Display,11.08,4.94,7.2,45.68,3354,9.93,0.04,149750.93
PROMO-2024-0149,Albertsons,SKU-C02,2024-04-20,2024-05-03,Feature+Display,17.87,2.9,4.19,44.46,778,13.13,0.01,179090.42
PROMO-2024-0119,Target,SKU-B01,2024-04-13,2024-04-26,Feature,11.75,8.59,12.81,49.18,12121,3.53,0.11,89916.03
PROMO-2024-0115,Walmart,SKU-B01,2024-04-06,2024-04-19,TPR,15.63,8.59,13.27,54.56,32274,9.64,0.14,177980.21
PROMO-2024-0125,Kroger,SKU-B03,2024-04-06,2024-04-19,TPR,17.5,6.01,8.1,34.84,3531,15,0.02,117211.32
PROMO-2024-0080,Walmart,SKU-A02,2024-03-30,2024-04-12,TPR,13.86,5.9,6.53,10.52,3225,5.08,0.19,28847.9
PROMO-2024-0090,Target,SKU-A02,2024-03-30,2024-04-12,TPR,11.94,5.9,7.22,22.27,2875,14.88,0.03,162828.91
PROMO-2024-0094,Kroger,SKU-A02,2024-03-30,2024-04-12,TPR,33.47,5.9,6.99,18.35,1777,9.1,0.06,47716.4
PROMO-2024-0147,Kroger,SKU-C03,2024-03-30,2024-04-12,BOGO,50,3.69,6.82,84.84,3357,12.02,0.08,140328.71
PROMO-2024-0114,Walmart,SKU-B01,2024-03-16,2024-03-29,Feature+Display,17.15,8.59,11.54,34.44,20371,9.92,0.09,179375.66
PROMO-2024-0135,Walmart,SKU-C01,2024-03-16,2024-03-29,BOGO,50,4.94,9,82.16,21451,7.46,0.53,76193.23
PROMO-2024-0148,Albertsons,SKU-C01,2024-03-16,2024-03-29,TPR,32.8,4.94,7.17,45.14,1400,8.22,0.03,91212.33
PROMO-2024-0092,Target,SKU-A02,2024-03-02,2024-03-15,TPR,11.72,5.9,8.34,41.17,5317,9,0.09,101540.65
PROMO-2024-0107,Albertsons,SKU-A03,2024-02-24,2024-03-08,TPR,15.95,6.61,7.74,16.98,582,14.53,0.01,73890.78
PROMO-2024-0118,Target,SKU-B01,2024-02-24,2024-03-08,TPR,31.84,8.59,9.72,13.18,3249,11.34,0.03,99349.74
PROMO-2024-0122,Kroger,SKU-B01,2024-02-24,2024-03-08,Display,28.25,8.59,12.55,46.13,8338,7.4,0.04,173823.74
PROMO-2024-0083,Walmart,SKU-A03,2024-02-17,2024-03-01,TPR,28.81,6.61,9.12,37.91,9874,9.29,0.6,19256.42
