scorecard_period,retailer_name,brand_name,total_dollar_sales,dollar_share_of_category_pct,distribution_points,avg_acv_pct,avg_oos_rate_pct,total_promo_weeks,on_shelf_availability_pct,yoy_sales_growth_pct,new_items_added,items_delisted,buyer_name,jbp_target_growth_pct
2025-Q1,Albertsons,Brand A,188521.69,5.23,11,74.12,6.92,17,90.64,13.31,1,2,Robert Wilson,11.31
2025-Q1,Albertsons,Brand B,101682.88,19.41,25,69.93,7.61,14,91.06,3.79,1,2,Robert Wilson,8.66
2025-Q1,Albertsons,Brand C,128268.37,15.25,14,66.02,6.92,13,98.47,7.57,2,0,Robert Wilson,7.32
2025-Q1,CVS,Brand A,148088.77,9.08,24,72.59,4.34,16,97.07,6.71,2,0,James Williams,9.83
2025-Q1,CVS,Brand B,135941.55,20.65,11,74.41,2.41,4,92.56,9.88,3,2,James Williams,10.97
2025-Q1,CVS,Brand C,272806.21,10.28,21,63.91,2.01,8,93.8,4.47,1,0,James Williams,9.46
2025-Q1,Costco,Brand A,196265.57,9.54,12,60.18,7.76,9,90.13,5.73,3,0,David Kim,11.01
2025-Q1,Costco,Brand B,111513.67,9.37,11,66.49,7.05,7,96.78,11.69,1,2,David Kim,9.18
2025-Q1,Costco,Brand C,103903.18,15.08,24,61.14,7.36,16,92.48,13.4,0,0,David Kim,5.44
2025-Q1,Kroger,Brand A,375755.88,10.07,12,55.07,5.14,6,96.16,-0.19,2,0,Sarah Johnson,6.2
2025-Q1,Kroger,Brand B,262118.52,13.64,23,76.48,7.6,13,95.24,8.03,3,0,Sarah Johnson,5.03
2025-Q1,Kroger,Brand C,320954.03,18.82,13,65.94,3.75,4,97.75,8.66,3,0,Sarah Johnson,8.17
2025-Q1,Target,Brand A,589156.9,10.31,18,66.05,6.16,9,92.92,6.29,1,2,Michael Chen,10.27
2025-Q1,Target,Brand B,328864.21,19.95,21,60.09,5.03,18,90.63,4.11,0,2,Michael Chen,9.41
2025-Q1,Target,Brand C,694402.85,17.76,24,72.24,5.45,10,91.34,3.17,4,2,Michael Chen,11.41
2025-Q1,Walgreens,Brand A,126129.91,5.5,19,58.32,3.49,11,97.3,0.5,3,1,Emily Davis,9.11
2025-Q1,Walgreens,Brand B,121795.66,18.76,21,77.48,7.77,17,94.09,4.76,1,1,Emily Davis,6.87
2025-Q1,Walgreens,Brand C,260141.8,5.35,10,86.6,4.57,15,95.48,16.85,3,0,Emily Davis,6.81
2025-Q1,Walmart,Brand A,1419488.35,11.53,28,79.32,2.26,10,96.49,2.5,3,0,Jennifer Martinez,8.64
2025-Q1,Walmart,Brand B,821768,13.8,14,82.52,2.96,9,91.32,10.46,2,0,Jennifer Martinez,7.07
2025-Q1,Walmart,Brand C,1092998.95,9.69,15,62.86,4.19,11,92.24,9.43,4,1,Jennifer Martinez,8.28
2024-Q4,Albertsons,Brand A,156368.27,14.1,21,86.28,3.77,18,96.26,0.69,1,1,Robert Wilson,7.02
2024-Q4,Albertsons,Brand B,80363.77,14.6,9,77.87,2.91,9,95.84,4.43,4,1,Robert Wilson,6.48
2024-Q4,Albertsons,Brand C,138929.95,12.2,26,79.09,5.36,7,96.48,7.23,2,0,Robert Wilson,7.64
2024-Q4,CVS,Brand A,117645.66,13.1,27,62.39,7.4,5,95.61,8.7,1,1,James Williams,6.91
2024-Q4,CVS,Brand B,117584.99,9.47,10,63.47,2.98,6,98.33,10.91,1,0,James Williams,8.54
2024-Q4,CVS,Brand C,265623.86,19.15,26,63.78,6.06,15,90.04,15.8,2,1,James Williams,6.01
