week_ending_date,retailer_name,wmt_item_number,region,brand_name,category,sub_category,sku_id,sku_description,upc,dollar_sales,unit_sales,velocity_per_store,avg_selling_price,num_stores_selling,acv_distribution_pct,oos_rate_pct,prior_year_dollar_sales,prior_year_unit_sales,yoy_dollar_growth_pct
2025-02-22,Walmart,003825541,Midwest,Apex,Snacks,Salty Snacks,SKU-A01,Apex Original Sea Salt Thin Crisps 4oz,0-72820-00101-4,10902.52,5959,8.053,1.83,740,51.35,2.58,18266.57,4728,-40.31
2025-02-22,Walmart,003825541,Northeast,Apex,Snacks,Salty Snacks,SKU-A01,Apex Original Sea Salt Thin Crisps 4oz,0-72820-00101-4,10667.16,5619,7.624,1.9,737,84.43,6.61,17281.38,4473,-38.27
2025-02-22,Walmart,003825541,South Central,Apex,Snacks,Salty Snacks,SKU-A01,Apex Original Sea Salt Thin Crisps 4oz,0-72820-00101-4,11854.78,5834,7.862,2.03,742,69.52,20.33,16848.67,4361,-29.64
2025-02-22,Walmart,003825541,Southeast,Apex,Snacks,Salty Snacks,SKU-A01,Apex Original Sea Salt Thin Crisps 4oz,0-72820-00101-4,15016.41,7711,8.773,1.95,879,69.97,9.27,22782.98,5897,-34.09
2025-02-22,Walmart,003825541,West,Apex,Snacks,Salty Snacks,SKU-A01,Apex Original Sea Salt Thin Crisps 4oz,0-72820-00101-4,13815.79,6951,8.582,1.99,810,70.24,7.32,21994.83,5693,-37.19
2025-02-22,Walmart,003825542,Midwest,Apex,Snacks,Salty Snacks,SKU-A02,Apex Bold BBQ Kettle Chips 8oz,0-72820-00102-1,15573.47,4303,5.352,3.62,804,65.25,1.83,13214.09,3853,17.86
2025-02-22,Walmart,003825542,Northeast,Apex,Snacks,Salty Snacks,SKU-A02,Apex Bold BBQ Kettle Chips 8oz,0-72820-00102-1,13585.33,3781,6.06,3.59,624,49.33,0.6,9743.38,2841,39.43
2025-02-22,Walmart,003825542,South Central,Apex,Snacks,Salty Snacks,SKU-A02,Apex Bold BBQ Kettle Chips 8oz,0-72820-00102-1,12810.8,3575,5.516,3.58,648,76.19,2.3,9798.25,2857,30.75
2025-02-22,Walmart,003825542,Southeast,Apex,Snacks,Salty Snacks,SKU-A02,Apex Bold BBQ Kettle Chips 8oz,0-72820-00102-1,17709.01,4964,6.205,3.57,800,70.05,1.8,13807.4,4026,28.26
2025-02-22,Walmart,003825542,West,Apex,Snacks,Salty Snacks,SKU-A02,Apex Bold BBQ Kettle Chips 8oz,0-72820-00102-1,16313.45,4958,6.896,3.29,719,75.55,3.17,13001.46,3791,25.47
2025-02-22,Walmart,003825543,Midwest,Apex,Snacks,Salty Snacks,SKU-A03,Apex Lite Veggie Straws 12oz,0-72820-00103-8,36403.36,8046,9.848,4.52,817,65.85,2.73,26984.4,5848,34.91
2025-02-22,Walmart,003825543,Northeast,Apex,Snacks,Salty Snacks,SKU-A03,Apex Lite Veggie Straws 12oz,0-72820-00103-8,28930.32,6308,9.195,4.59,686,68.42,4.48,21525.69,4665,34.4
2025-02-22,Walmart,003825543,South Central,Apex,Snacks,Salty Snacks,SKU-A03,Apex Lite Veggie Straws 12oz,0-72820-00103-8,26914.46,6087,9.071,4.42,671,70.88,1.23,20390.57,4419,31.99
2025-02-22,Walmart,003825543,Southeast,Apex,Snacks,Salty Snacks,SKU-A03,Apex Lite Veggie Straws 12oz,0-72820-00103-8,35989,7887,9.63,4.56,819,62.14,1.96,28405.6,6156,26.7
2025-02-22,Walmart,003825543,West,Apex,Snacks,Salty Snacks,SKU-A03,Apex Lite Veggie Straws 12oz,0-72820-00103-8,38978.21,7930,9.802,4.92,809,81.57,1.09,29393.06,6370,32.61
